node_id,vertex_index,   ,x,y,z,  ,exported_x,exported_y,exported_z,  
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],116,   ,-11,126,78,   ,-11,-128,78,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],117,   ,-29,-124,49,   ,-25,-123,55,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],118,   ,-10,127,83,   ,-7,127,91,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],119,   ,-2,126,113,   ,-2,-128,117,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],120,   ,-6,126,93,   ,-4,126,99,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],121,   ,-2,126,126,   ,-1,-128,-127,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],122,   ,-2,126,126,   ,-1,-128,-128,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],123,   ,-5,126,96,   ,-5,-126,97,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],124,   ,-3,126,107,   ,-1,-125,122,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],125,   ,-2,126,126,   ,-1,-128,-126,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],126,   ,-2,126,126,   ,-1,124,126,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],127,   ,-2,126,-122,   ,-1,122,-125,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],128,   ,-2,126,126,   ,-1,-125,-125,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],129,   ,-2,125,-123,   ,-2,-118,-116,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],130,   ,-2,125,124,   ,-2,116,121,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],131,   ,-4,124,-103,   ,-4,-127,-99,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],132,   ,-6,123,-95,   ,-9,-122,-84,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],133,   ,-3,126,-110,   ,-4,-126,-98,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],134,   ,-5,126,-99,   ,-4,126,-99,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],135,   ,-6,126,-96,   ,-6,127,-92,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],136,   ,-2,126,-116,   ,-2,127,-111,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],137,   ,-9,126,-85,   ,-9,-128,-82,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],138,   ,-2,126,-113,   ,-3,126,-104,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],139,   ,-10,126,80,   ,-8,-127,86,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],140,   ,-17,-128,65,   ,-18,-128,65,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],141,   ,-21,-127,58,   ,-23,127,57,   
test_mesh_vertices[uPl00ChrisNormal.arc.exported-->pl0000.mod-->meshes_array-29],142,   ,-28,-125,50,   ,-23,-127,57,   
